0.948,0.951,0.945,0.940,0.934,0.932
0.958,0.957,0.953,0.950,0.947,0.945
0.965,0.963,0.960,0.959,0.955,0.954
0.965,0.965,0.964,0.961,0.960,0.957
0.968,0.967,0.966,0.962,0.961,0.959
0.969,0.969,0.967,0.963,0.963,0.961
