0.033,0.033,0.030,0.030,0.031,0.030,0.031,0.030,0.031,0.031
0.030,0.034,0.030,0.030,0.030,0.040,0.031,0.030,0.030,0.040
0.030,0.030,0.034,0.030,0.030,0.030,0.030,0.032,0.031,0.040
0.030,0.030,0.030,0.036,0.033,0.030,0.031,0.030,0.031,0.031
0.032,0.035,0.032,0.030,0.030,0.030,0.030,0.030,0.030,0.030
0.030,0.030,0.031,0.032,0.030,0.030,0.032,0.030,0.030,0.031
0.032,0.036,0.031,0.034,0.034,0.030,0.037,0.034,0.030,0.031
0.034,0.030,0.037,0.031,0.030,0.032,0.030,0.030,0.030,0.037
0.030,0.032,0.031,0.030,0.032,0.034,0.031,0.030,0.030,0.031
0.035,0.038,0.039,0.034,0.039,0.031,0.030,0.030,0.030,0.031
0.030,0.031,0.031,0.030,0.030,0.030,0.030,0.030,0.039,0.031
0.030,0.036,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.031
0.034,0.030,0.031,0.030,0.035,0.030,0.031,0.033,0.030,0.031
0.037,0.030,0.030,0.031,0.031,0.030,0.030,0.034,0.030,0.031
0.037,0.031,0.033,0.030,0.030,0.033,0.030,0.030,0.030,0.040
0.033,0.042,0.042,0.041,0.030,0.040,0.030,0.030,0.030,0.032
0.033,0.032,0.030,0.030,0.039,0.036,0.030,0.030,0.030,0.030
0.030,0.030,0.037,0.030,0.030,0.030,0.040,0.030,0.034,0.031
0.030,0.030,0.030,0.030,0.032,0.030,0.030,0.037,0.030,0.041
0.030,0.030,0.030,0.041,0.030,0.031,0.037,0.030,0.031,0.033
