0.852,0.852,0.861,0.860,0.852,0.848,0.859,0.856,0.842,0.852
0.895,0.894,0.899,0.898,0.898,0.897,0.896,0.890,0.896,0.899
0.895,0.897,0.898,0.897,0.898,0.896,0.895,0.896,0.895,0.895
0.895,0.892,0.894,0.894,0.901,0.898,0.897,0.900,0.894,0.897
0.890,0.894,0.896,0.897,0.898,0.898,0.898,0.895,0.897,0.893
0.894,0.899,0.894,0.897,0.897,0.898,0.894,0.898,0.901,0.894
0.900,0.897,0.894,0.897,0.898,0.897,0.895,0.897,0.893,0.900
0.900,0.897,0.898,0.900,0.898,0.899,0.895,0.900,0.893,0.892
0.896,0.898,0.898,0.896,0.901,0.895,0.897,0.898,0.896,0.898
0.897,0.893,0.896,0.896,0.894,0.895,0.898,0.898,0.898,0.897
0.899,0.899,0.898,0.897,0.896,0.897,0.900,0.896,0.895,0.904
