0.94,0.93,0.926,0.927,0.935,0.926,0.926,0.923,0.919,0.927,,0.9279
0.94,0.927,0.929,0.93,0.933,0.927,0.922,0.924,0.929,0.926,,0.9287
0.938,0.929,0.936,0.93,0.934,0.921,0.929,0.923,0.92,0.922,,0.9282
0.94,0.93,0.925,0.933,0.936,0.93,0.918,0.926,0.931,0.93,,0.9299
0.958,0.954,0.948,0.953,0.949,0.944,0.941,0.948,0.94,0.946,,0.9481
0.959,0.954,0.962,0.961,0.959,0.947,0.957,0.957,0.957,0.956,,0.9569
0.966,0.964,0.957,0.962,0.963,0.958,0.952,0.947,0.96,0.956,,0.9585
