0.942,0.940,0.943,0.943,0.939,0.937,0.937,0.949,0.946,0.957
0.951,0.943,0.945,0.942,0.937,0.939,0.939,0.940,0.947,0.954
0.949,0.947,0.948,0.944,0.934,0.938,0.921,0.944,0.950,0.957
0.953,0.946,0.947,0.909,0.941,0.939,0.936,0.885,0.950,0.957
0.949,0.942,0.929,0.940,0.903,0.934,0.927,0.947,0.934,0.953
0.945,0.940,0.899,0.857,0.935,0.926,0.935,0.914,0.930,0.952
0.922,0.931,0.821,0.866,0.859,0.852,0.924,0.884,0.923,0.949
0.945,0.922,0.807,0.922,0.911,0.883,0.935,0.922,0.935,0.952
0.854,0.919,0.871,0.848,0.791,0.891,0.924,0.803,0.877,0.946
0.919,0.828,0.689,0.800,0.782,0.799,0.897,0.743,0.821,0.943
0.786,0.896,0.711,0.730,0.703,0.867,0.782,0.813,0.695,0.947
0.819,0.833,0.880,0.585,0.630,0.825,0.627,0.595,0.749,0.937
0.476,0.692,0.675,0.774,0.478,0.782,0.839,0.393,0.500,0.942
0.548,0.629,0.616,0.577,0.525,0.684,0.564,0.609,0.652,0.939
0.568,0.531,0.499,0.596,0.499,0.638,0.570,0.694,0.611,0.941
0.668,0.481,0.455,0.515,0.662,0.600,0.542,0.520,0.539,0.933
0.486,0.547,0.603,0.568,0.542,0.546,0.483,0.552,0.587,0.571
0.539,0.553,0.489,0.529,0.683,0.556,0.466,0.624,0.557,0.849
0.618,0.363,0.415,0.550,0.567,0.592,0.494,0.448,0.462,0.934
0.534,0.296,0.467,0.382,0.484,0.497,0.472,0.554,0.643,0.633
