0.866,0.851,0.854,0.849,0.852,0.851,0.851,0.853,0.860,0.850
0.938,0.941,0.939,0.940,0.942,0.940,0.942,0.937,0.938,0.938
0.953,0.953,0.952,0.952,0.954,0.951,0.952,0.950,0.957,0.949
0.957,0.957,0.956,0.957,0.957,0.959,0.958,0.958,0.958,0.959
0.961,0.961,0.962,0.962,0.961,0.962,0.958,0.962,0.960,0.962
0.963,0.963,0.964,0.962,0.962,0.964,0.962,0.964,0.965,0.963
0.965,0.967,0.966,0.966,0.965,0.965,0.964,0.966,0.967,0.966
0.967,0.965,0.967,0.968,0.968,0.969,0.966,0.968,0.967,0.967
0.968,0.969,0.968,0.969,0.969,0.968,0.969,0.968,0.969,0.968
0.969,0.970,0.969,0.970,0.969,0.970,0.969,0.968,0.969,0.969
0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971
